	RyersonU	sageryerson	TetraRyerson	mathryerson	
automorphisms	0.0	0.0	0.0	0.010777172045613662	
availability	0.001856567152681522	0.0	0.0	0.0	
aviv	0.0	0.0	0.0	0.010777172045613662	
avoiding	0.003713134305363044	0.0	0.0	0.0	
avrich	0.003713134305363044	0.0	0.0	0.0	
award	0.04827074596971958	0.0	0.0	0.04849727420526148	
awardcongratulations	0.0	0.0	0.0	0.010777172045613662	
awarddeadline	0.0	0.0	0.0	0.010777172045613662	
awarded	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
awardfosmath	0.0	0.0	0.0	0.010777172045613662	
awardin	0.0	0.0	0.0	0.010777172045613662	
awards	0.020422238679496746	0.0	0.0	0.06466303227368198	
awardwinning	0.0055697014580445665	0.0	0.0	0.0	
aware	0.003713134305363044	0.0	0.0	0.0	
awareness	0.018565671526815222	0.0	0.0	0.0	
awesome	0.0055697014580445665	0.0	0.0	0.0	
ayymolina	0.001856567152681522	0.0	0.0	0.0	
azuremagazine	0.0055697014580445665	0.0	0.0	0.0	
babitasabrina	0.001856567152681522	0.0	0.0	0.0	
backs	0.001856567152681522	0.0	0.0	0.0	
backtoschool	0.001856567152681522	0.0	0.0	0.0	
bacterial	0.0	0.0	0.0	0.021554344091227324	
bad	0.001856567152681522	0.0	0.0	0.0	
badgers	0.003713134305363044	0.0	0.0	0.0	
bagheri	0.001856567152681522	0.0	0.0	0.0	
bags	0.0055697014580445665	0.0	0.0	0.0	
bailey	0.0	0.0	0.0	0.010777172045613662	
baileywade	0.001856567152681522	0.0	0.0	0.0	
baird	0.0	0.0	0.0	0.010777172045613662	
bal	0.0	0.0	0.0	0.010777172045613662	
bala	0.0055697014580445665	0.0	0.0	0.0	
baldeep	0.001856567152681522	0.0	0.0	0.0	
balls	0.0	0.0	0.0	0.010777172045613662	
bands	0.001856567152681522	0.0	0.0	0.0	
banking	0.009282835763407611	0.0	0.0	0.0	
banned	0.001856567152681522	0.0	0.0	0.0	
banner	0.003713134305363044	0.0	0.0	0.0	
barbara	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
barber	0.001856567152681522	0.0	0.0	0.0	
barrierfree	0.02413537298485979	0.0	0.0	0.0	
barry	0.003713134305363044	0.0	0.0	0.0	
base	0.001856567152681522	0.0	0.0	0.0	
baseball	0.001856567152681522	0.0	0.0	0.0	
basecamp	0.007426268610726088	0.0	0.0	0.0	
based	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
basic	0.001856567152681522	0.0	0.0	0.0	
basil	0.003713134305363044	0.0	0.0	0.0	
basketball	0.07054955180189784	0.0	0.0	0.0	
bates	0.003713134305363044	0.0	0.0	0.0	
battery	0.003713134305363044	0.0	0.0	0.0	
battle	0.003713134305363044	0.0	0.0	0.0	
battles	0.001856567152681522	0.0	0.0	0.0	
battling	0.003713134305363044	0.0	0.0	0.0	
bauder	0.001856567152681522	0.0	0.0	0.0	
bball	0.003713134305363044	0.0	0.0	0.0	
bbq	0.001856567152681522	0.0	0.0	0.0	
bc	0.001856567152681522	0.0	0.0	0.0	
beach	0.003713134305363044	0.0	0.0	0.0	
beat	0.001856567152681522	0.0	0.0	0.0	
beatbrock	0.003713134305363044	0.0	0.0	0.0	
beatyork	0.001856567152681522	0.0	0.0	0.0	
beaucheminryerson	0.0	0.0	0.0	0.010777172045613662	
beauty	0.003713134305363044	0.0	0.0	0.0	
beer	0.003713134305363044	0.0	0.0	0.0	
beesince	0.003713134305363044	0.0	0.0	0.0	
beetle	0.003713134305363044	0.0	0.0	0.0	
began	0.001856567152681522	0.0	0.0	0.0	
behaviour	0.001856567152681522	0.0	0.0	0.0	
behold	0.001856567152681522	0.0	0.0	0.0	
beiser	0.003713134305363044	0.0	0.0	0.0	
believed	0.001856567152681522	0.0	0.0	0.0	
bell	0.001856567152681522	0.0	0.0	0.0	
bella	0.001856567152681522	0.0	0.0	0.0	
bellletstalk	0.001856567152681522	0.0	0.0	0.0	
ben	0.001856567152681522	0.0	0.0	0.005388586022806831	
benjamin	0.011139402916089133	0.0	0.0	0.0	
bennett	0.0	0.0	0.0	0.03233151613684099	
berger	0.001856567152681522	0.0	0.0	0.0	
best	0.07240611895457937	0.0	0.0	0.0	
bet	0.003713134305363044	0.0	0.0	0.0	
better	0.02413537298485979	0.0	0.0	0.0	
beyondmycamera	0.001856567152681522	0.0	0.0	0.0	
bianxg	0.001856567152681522	0.0	0.0	0.0	
bias	0.001856567152681522	0.0	0.0	0.0	
big	0.03156164159558588	0.0	0.0	0.0	
bigdata	0.012995970068770655	0.0	0.0	0.0	
bigthink	0.001856567152681522	0.0	0.0	0.0	
bill	9.28283576340761E-4	0.0	0.0	0.010777172045613662	
bing	0.001856567152681522	0.0	0.0	0.0	
bio	0.001856567152681522	0.0	0.0	0.0	
biofilms	0.0	0.0	0.0	0.010777172045613662	
biology	0.0	0.0	0.0	0.04310868818245465	
biologyday	0.001856567152681522	0.0	0.0	0.0	
biomath	0.0	0.0	0.0	0.021554344091227324	
biomathematics	0.0	0.0	0.0	0.09699454841052296	
biomathfluids	0.0	0.0	0.0	0.010777172045613662	
biomaths	0.0	0.0	0.0	0.05388586022806831	
biomedical	0.007426268610726088	0.0	0.0	0.0	
biomedicalzone	0.007426268610726088	0.0	0.0	0.0	
biomedicalzonebased	0.001856567152681522	0.0	0.0	0.0	
bipartite	0.0	0.0	0.0	0.010777172045613662	
birthday	0.001856567152681522	0.0	0.0	0.0	
