	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
baffledbabyboomer	0.0	0.0	0.0090738781157824	0.0	
bag	0.0	0.008803290408587456	0.006805408586836799	0.0	
bagpuss	0.0	0.0	0.0045369390578912	0.0	
bags	0.0	0.011737720544783274	0.0	0.0	
bakerpenn	0.0	0.0	0.0045369390578912	0.0	
baking	0.0	0.0	0.0045369390578912	0.0	
balcony	0.0	0.0	0.0090738781157824	0.0	
ball	0.0	0.044016452042937276	0.006805408586836799	0.0	
ballet	0.0	0.0	0.0045369390578912	0.0	
balls	0.0	0.0	0.0090738781157824	0.0	
ballsitisapc	0.0	0.0	0.0045369390578912	0.0	
ballttmtp	0.0	0.0	0.0090738781157824	0.0	
bananas	0.0	0.0	0.0045369390578912	0.0	
band	0.0	0.0	0.0090738781157824	0.0	
banderas	0.0	0.0	0.0045369390578912	0.0	
bang	0.0	0.0	0.0045369390578912	0.0	
bar	0.0	0.005868860272391637	0.0045369390578912	0.0	
barbarabpiwetz	0.0	0.0	0.0045369390578912	0.0	
barbaricbut	0.0	0.0	0.0045369390578912	0.0	
bark	0.0	0.0029344301361958185	0.0090738781157824	0.0	
barked	0.0	0.0	0.013610817173673599	0.0	
barking	0.0	0.0	0.013610817173673599	0.0	
baron	0.0	0.0	0.0045369390578912	0.0	
barrel	0.0	0.0	0.0090738781157824	0.0	
bars	0.0	0.005868860272391637	0.0	0.0	
barsrestaurants	0.0	0.0	0.0045369390578912	0.0	
baseball	0.0	0.0	0.0045369390578912	0.0	
basketball	0.0	0.0	0.013610817173673599	0.0	
basketsbut	0.03981693508395617	0.0	0.0	0.0	
bat	0.0	0.0	0.0090738781157824	0.0	
bath	0.0	0.0029344301361958185	0.0045369390578912	0.0	
bathes	0.0	0.0	0.0045369390578912	0.0	
bathing	0.0	0.0	0.0045369390578912	0.0	
bathroom	0.0	0.005868860272391637	0.0022684695289456	0.0	
baths	0.0	0.0	0.0045369390578912	0.0	
bathtub	0.0	0.005868860272391637	0.0	0.0	
batman	0.0	0.0	0.0090738781157824	0.0	
batting	0.0	0.0	0.0045369390578912	0.0	
bay	0.0	0.0	0.0090738781157824	0.0	
