	TorontoStar	only1nabil	AcadieSon	AndreasKalo	
adjoining	0.0	0.0	0.007361480551895291	0.0	
adjust	0.0	0.0	0.007361480551895291	0.0	
admirable	0.0	0.0	0.007361480551895291	0.0	
admiralty	0.0	0.0	0.014722961103790582	0.0	
admire	0.0	0.0	0.007361480551895291	0.0	
admission	0.0020077140802742025	0.0	0.0	0.0	
admit	2.0831915778598217E-4	0.0021967554436167895	0.001527645239624232	0.0	
admits	6.249574733579465E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
admitted	0.0	0.0	0.0	0.004699599112362139	
adms	0.0	0.0	0.007361480551895291	0.0	
adnansadiq	0.0	0.0	0.014722961103790582	0.0	
adonis	0.0	0.0	0.0	0.004699599112362139	
adopt	0.0	0.0	0.0	0.0	
adopted	0.0	0.0010983777218083947	0.001527645239624232	0.0029257647948117836	
adopter	0.0	0.0052929083454719235	0.0	0.0	
adopting	0.0	0.0010983777218083947	0.001527645239624232	9.75254931603928E-4	
adoption	0.0	0.0026464541727359617	0.0036807402759476454	0.0	
adorable	0.0	0.0052929083454719235	0.0	0.0	
adrenalinepumping	0.0010038570401371013	0.0	0.0	0.0	
adria	0.0	0.0	0.0	0.004699599112362139	
adrthinktank	0.0	0.0	0.0	0.014098797337086418	
ads	4.1663831557196433E-4	0.007688644052658762	0.0	0.001950509863207856	
adsense	0.0	0.0	0.0	0.004699599112362139	
adult	0.0	0.0026464541727359617	0.014722961103790582	0.0	
adultchild	0.0	0.0	0.007361480551895291	0.0	
adults	2.0831915778598217E-4	0.003295133165425184	0.001527645239624232	0.0	
advanced	0.0	0.0052929083454719235	0.0	0.0	
advantage	0.0	0.003295133165425184	0.001527645239624232	9.75254931603928E-4	
advantages	0.0010038570401371013	0.0	0.0	0.0	
adventure	0.0	0.0052929083454719235	0.0	0.0	
adverse	0.0	0.0	0.007361480551895291	0.0	
adversely	0.0	0.0	0.0	0.004699599112362139	
adversity	0.0	0.0	0.0	0.004699599112362139	
advertised	0.0010038570401371013	0.0	0.0	0.0	
advertisers	0.0	0.0	0.007361480551895291	0.0	
advertising	0.0	0.0052929083454719235	0.0	0.0	
advice	4.1663831557196433E-4	0.003295133165425184	0.0	9.75254931603928E-4	
advise	0.0	0.0	0.007361480551895291	0.0	
advised	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	
adviser	0.0020077140802742025	0.0	0.0	0.0	
advisor	0.0	0.0052929083454719235	0.0	0.0	
advisory	5.019285200685506E-4	0.0	0.0	0.03759679289889711	
